留言日期,留言标题,留言内容
2023/12/7,允许过法律服务工作者考试的公务员兼职法援中心,"您好，我是工作在乡镇的普通公务员，农民聘不起律师，所以很少选择通过诉讼解决矛盾纠纷。我在乡镇工作三年，给乡村干部讲法三年，今年通过了基层法律服务工作者考试，我想免费为困难群众代理案件，但是根据基层法律服务工作者管理办法，公务员不能在法律援助中心兼职执业，我不想要报酬，只想为老百姓多做点事，社会上有很多公务员通过了基层法律服务工作者考试，也是苦于无法执业。

我建议修改基层法律服务工作者管理办法，允许公务员在法律援助中心兼职，不收取任何报酬，免费为老百姓代理案件，让公务员在法治中国建设中发挥更大的作用。谢谢！"
,非法本法硕法考B证毕业后相当于A证效力的建议,"司法部领导您好：
我是一名非法本法学学硕学生，户籍地在放宽地区，目前已经考过了法考a线。但根据现在的政策，只能拿到法考b证，司法部文件称等我拿到研究生学历学位证书，b证就相当于a证的效力了。司法部的解释很清楚，我也表示接受。但是现实中存在一个问题是，有些求职单位可能只认法考a证，根本不知道b证这个政策，甚至是在报名的时候根本不给我们解释的机会，这会使我们丧失良好的就业机会。我现在还有一年毕业，提出这个问题是想防患于未然，如果领导关注到这个问题，我想是不是可以规定，我们这种情况的考生等拿到研究生毕业证书后，可以直接用b证换成a证，这也少了日后找工作的诸多麻烦。
希望领导可以考虑一下这个问题，非常感谢！"
,让法律专业人员在公立医院有一席之地,"尊敬的部长：
       我国高度重视律师队伍建设，设立公职律师、公司律师、兼职律师和专职律师。但是公职律师只在国家党政机关和人民团体中设立，公司律师在企业，兼职律师在高校，而医院作为公立事业单位却不能申请以上任意一种律师。在推进医疗卫生事业高质量发展中，医院同样面临许多法律问题，医疗纠纷、合同纠纷、人事争议等时有发生，然而许多医院的法律人才却相当的匮乏。因此，建议领导考虑让在公立医院做行政法律事务的工作人员也可以申请公职律师，或者学习同是事业单位的学校，允许申请兼职律师。
       我是一名就职于公立医院的法学专业职工，主要从事医疗纠纷及投诉的调处、依法执业管理等工作，现已工作满10年，2021年通过法律职业资格考试，由于医院无法设立相应的律师岗位等原因导致自身发展受到严重限制。 恳请领导考虑出台相关政策，使跟我面临同样问题的这一类人能继续留在原单位效力。
       此致
敬礼！"
,增设手语律师考核科目，关注特殊人群,聋哑人群体在我国一直占很大一部分，因先天因素让他们在维权交流时举步维艰，司法部能否在原法律职业资格考试不变的情况下，给想帮特殊群体的法律人才增设手语图片电脑考核部分，培养一批能为特殊群体发声的律师人才，用法律的柔情替特殊群体发声。
,建议增加司法鉴定投诉处理的具体解释,建议出台《司法鉴定执业活动投诉处理办法》的具体解释，尤其是“仅对鉴定意见有异议的”的解释，防止属地司法行政部门以此做出“不予受理”的行为。
,推动统一规范治理“醉驾”司法标准,建议全国统一醉驾司法标准，显示法律公平公正.
,建立起全国统一的公证查询,希望能建立一个全国统一的公证网络查询系统，让当事人通过身份证或人脸识别系统，就可以查询在全国任何一个地方办理的公证事项。
,法律进课堂,建议法律早进课堂，从幼儿园就开始教一些相关的法规，法律，让法的知识随着孩子的步步成长也随之加强。让孩子在成长的过程中对法有敬畏，让法对孩子也有威慑。
,法考报名问题,您好！法考考试安排可否改成自愿选择考试日期？由于教师资格证考试也是安排在同一天，法考考试安排是在准考证打印之前就安排好的无法更改考试日期，这样就无法参加教师资格证考试。恳请有关领导关注，在考试日期安排上更加灵活。
,关于严格审核法律援助的建议,目前，对于申请建筑工人工资的法律援助，各司法局均会给予法律援助，但是实际上这部分人收入并非全部属于经济困难的情形，建议对申请法律援助的人员进行严格审核，对于家庭困难的，积极给予法律援助，对于经济不困难的，不应给予法律援助，让更多真正需要法律援助的人，享受国家政策。
,应建立被告所在地地方乡村或街道办民事调解中心,"尊敬的部长，您好

我是一个案子历经十年的当事人，通过我的经历，说说老百姓对司法的建议：

      首先老百姓对法律一知半解，为了公平公开公正的解决纠纷，在开庭前由被告户口所在地或者经常居住地乡村村委或街道办牵头，主动联系被告和原告进行矛盾调解，最后出具调解建议。在调解建议中强制规定调解后x个月内是冷静期，期间不开庭，看双方履行的程度和对此事的态度，如果最后还是水火不容，那么可走正常司法。因为我发现太多案情都是为了赌气，都是在对对方信息不太了解的基础上做出的决定，由此原告被告从熟悉变成陌生。具体流程为：
1、成立乡村或街道办民事调解中心；2、开庭前将民事案件移交被告所在地的调解中心；3、调解中心落实原告、被告所在单位及长辈、朋友；4、调整中心先争取原告被告所在单位的支持或朋友长辈的支持；5、在获得支持后联系原告被告以及单位或者长辈朋友在场开始调解；6、按调解内容开始监督并可更具客观情况更新调解内容，再监督落地；7、在周期内如果无法达到调解内容，可出具调解结论，对于无法调解的允许走司法程序，对于已完成调解内容且不通过诉讼解决的可让原告撤诉；8，成功调解后为原告被告合影，司法部给予调解中心奖励。这样才能彻底化解矛盾。"
,建议明确双学士及联合学士学位的法考报考资格,建议司法部将来在发布法考报名信息时，明确双学士学位复合型人才培养项目、联合学士学位项目的学生，具有写明其中之一专业为法学专业（不分前后）的毕业证书的，可以参加法考。
,关于加强司法建设,"建议完善建立司法体系建设，紧密围绕以人民利益发展为发展中心，便于群众知情权参与权，和协构建社会司法建设。
加强完善建立司法体系建设，提高司法效率公正性，引入先进信息化。设立专门设立管理案情管理部门，负责协调工作环节，监督管理效益状况。加大培训，提高效益职能。
健全宪法全面实施制度体系，不断提高宪法实施监督水平。"
,关于推进便利律师执业的建议,尊敬的部长，此前了解到律师执业证等卡式执业证已进行了试行。建议及早在全国范围推出卡片式的律师执业证（类似公民身份证）。一开始的年限或者可以短一些，后面再延长。同时，对于每年进行的年检盖章，认为年检注册还属于必要，但每年盖章则建议取消，目前已知很多省份已取消，但未在全国有规定。 建议根据实际，包括联合法院、检察院、公安等部门，出台更多的便利律师执业的措施。以利于律师更好的为人民提供法律服务。特此反映，恳请考虑接纳。
,普法工作建言,"普通公民在帮助政府监督社会民生问题中，对于一些遇到问题并不清楚涉及到的相关法律条规。
建议对于不同层级部门出台的法律条文规定，是否可以建设一个统一的网站来查询全国各部门所有的法律法规。"
,中国公证协会没有提供联系方式，建议增加,由于中国公证协会缺失有效的联系方式，无法联系，公民有问题缺乏反馈渠道，中国公证协会不是政府部门，但是却承担着公证业务相关职能，应该提供相应的联系渠道，方便公民可以反馈问题。司法部作为中国公证协会的主管政府部门，请贺书记解决一下。谢谢
,中国司法文书网没有手机版,中国司法文书网没有手机版，字体小，注册查询繁琐，不便于老年人操作。
,建议对C证律师执业地域限制作出科学合理的规定,"按照目前我国法律职业资格考试制度，放宽地区考生可以在全国统一的合格线下一定幅度，拿到C证，但执业地域有限制。目前形势下人的流动性增强，再加上户籍制度的改革，我建议C证人员的执业地域限制予以放宽。在此基础上，我还建议C证律师在执业一定年限后，比如五年，比如十年，随着工作经验的增长，应该取消对他（她）的执业地域限制，可以在全国范围内执业，C证律师考试分数是差了一些， 可他们通过多年的执业，通过在实践中不断摸索锻炼，完全可以提高执业技能，完全能够和A证律师一样执业。
     以上两条建议，请司法部领导考虑，盼复。"
,法律知识进校园,尊敬的部长您好！随着社会的发展，进步，未成年人在成长的过程中，获取信息的方式，途径多种多样，其中就有好，有坏。好的一面当然是利的占多数。但坏的一面，近几年也有不少发生。近些年从网络上，新闻上我得知的关于未成年人的各种犯罪。未成年不是法外之地。建议少部分对未成年人有威慑力的法律内容早日进课堂，让未成年早日知晓，对法律产生敬畏。
,公职律师管理办法相关法条的适用范围,2019年出台的公职律师管理办法第二十四条规定，有法律，法规授权的具有相关公共事务职能的组织，团体可以参照上述规定实施。但在实际生活中，由于事业单位性质复杂，无法与第二十四条规定相匹配。本人拿到了法律职位资格证书，是一名事业单位人员，想申请公职律师，咨询省市司法局的工作人员后得知，目前司法部并没有对哪些组织团体属于第二十四条规定的范围进行界定，导致目前无法办理公职律师，现本人请求司法部出台相关细则，对该条款进行解释，以便统一认识，有利于公职律师的有效管理，谢谢！
,对律师实习期限要求的建议,针对律师实习期限提一个建议，作为司法行政部门管理的两个专业法律服务队伍，一个是律师，另外一个是基层法律服务工作者，同属于法律职业共同体的一部分，基层法律服务工作者长年为基层群众提供收费低且接近民生的法律服务，有一部分通过法律职业资格后，仍然需要和其他没有任何法律实践经验的人员一样实习期，个人建议应该区别对待，毕竟基层法律服务工作者从事多年法律服务经历，仍需一样实习，是对基层法律服务工作者从业期间业务能力的否定，请制定相应规定予以明确。
,关于制定法考收费标准和规范收费价格的建议,"尊敬的部长：
       您好，又到了法考报名季，各省也陆续公布了法考报名费用，差距颇大。例如，客观题报名费最高的210元，最低的122元相差88元；主观题报名费最高的115元，最低的60元相差55元；总费用最高的300元，最低的192元，相差108元。法考作为全国统一的大型考试应当制定统一的收费标准或者是统一的收费价格。不应该产生较大的差距。"
,在政府职能部门及地方法院多开展法制宣传。,建议在各级政府职能部门，和各级地方法院开展加强法制宣传，增强地方政府各职能部门的法律意识。
,希望通过提供免费律师服务帮助农民工讨薪,希望能在每个地区为农民工设立提供免费劳动纠纷服务的律师事务所，所需要费用由欠薪一方加倍承担。
,统一乡镇综合执法制式服装,乡镇综合执法是综合执法改革的一项，因为综合执法只明确了六大执法队伍的制式服装，乡镇综合执法没有明确，还请出台统一标准。
,建议全国司法所配备统一车辆统一服装,"尊敬的部长，您好！
        随着法律法规的不断健全，以及社区矫正等司法行政工作的不断发展，司法所的工作量走访量都在不断加大，急需配备车辆和执法制服，一方面可以方便工作，另一方面可以体现执法工作的严肃性权威性，利于工作的推动。
        因此，建议全国司法所配备统一的车辆和制服，望能研究推进。"
,关于职业病防治法的立法问题明确建议,"《职业病预防法》2011年修正的条款，第49条对职业危害因素的接触事实，从职业病诊断鉴定的角度来看，解决了职业危害接触方面的事实，其余都是医学技术问题。
  《职业病预防法》修正的突出特征是将安全生产监督部门引入职业病预防管理。该行政监督体制的重大调整，利益是缺点，另围绕安全监督职能引起的争论，实务中安全监督机构自身的权利责任界限不明确，应该做的事情不做，不想做。
《职业病防治法》第50条的规定，在职业病诊断鉴定过程中提前引进劳动仲裁，可以减轻诊断机构的压力，但对完全弱的患者该系统的设计合理性值得拷问！
更值得注意的是，实务中一些诊断机构有任意扩大第50条规定的劳动争议的倾向，最明显的情况是，确认患者的劳动关系、职业危害因素。但职场没有患者主张的职业危害因素。如何解决特定职场有职业危害因素的争论呢？
   部分诊断鉴定机构将这一争议一并归入劳动争议，只要劳动资金双方意见不一致，就要求患者申请劳动仲裁。但是，明显的事实是患者的职场是否接触到具体的职业危害因素，这争论不是劳动法上的劳动争论，劳动仲裁无解决这争论的权利。
结合《职业病预防法》第49条的规定，上述争应由安全监督部门解决，患者职场职业危害因素的情况，使用者应掌握并向诊断机构提供的范围，患者对此信息有异议的，诊断鉴定机构应向安全部门提出调查，安全部门应在接受诊断鉴定机构申请之日起30天内作出判断。第四十九条最后特别规定，有关部门应合作。因此，如安全监督部门不协助调查，诊断鉴定机构有足诊断鉴定机构有足够的法律依据提出异议寻求解决。
  但问题是《职业病预防法》将申请安全监督部门判定的权利授予诊断鉴定机构却不执行，忘记患者的最需要，也有权启动安全监督调查的主体。现实的尴尬表明，即使劳资双方有更大的争论，诊断鉴定机构也很少积极向安全监督部门申请调查和判定的情况下，患者无能为力，诊断鉴定工作当场僵硬拖延数年。
《职业病防治法》的修改至少留下了第49条和第50条的大漏洞。好的法律不仅要有受欢迎的权利责任主体，还要有明确的权利责任界限和程序。否则更漂亮的规定，由于缺乏具体明确的执行程序，成为束高阁的塑料花，无法使用。
立法机关应进一步明有关部门在处理职业病诊断鉴定纠纷方面的职权和手续，明确患者是否存在具体职业危害因素和危害程度的纠纷，诊断机构应主动行使申请安监部门监督，使安全部门调查、判定，安全部门不得拒绝缩短诊断耗时数年"
,恳求早点出2022年延期法考主观题成绩,希望尊敬的贺荣部长可以看到我的请求。虽然我知道司法部的工作流程是固定且难以改动的，但是还是希望可以在5.1前出法考成绩，原因如下：1.有的同学脱产备考，延期后考试时间一直不确定导致考生一直担心考试时间太近而没有找工作（去年出现了公告7天后立马主观题的先例），几乎1年多无收入。2.其次，很多应届同学反应公考，事业单位考试需要主观题成绩证明自己符合报考资格，有的地方不能写承诺书，失去了许多机会。3.太晚出成绩会让往届生和应届生挤在毕业季这个节骨眼上找工作，导致就业更加困难。早出成绩可以让大家早做安排。4.延期半年的压力大，试题难度增加，给分标准不明，出成绩时间不确定等事情都在进一步拉紧每个考生的神经，我心疼自己也心疼大家。最后感谢部长的理解。
,给在校未成年普及法律知识，保护自己,建议给在校未成年普及法律知识，保护自己，让法律走进校园。
,统一全国公职律师申请条件,尊敬的部长：您好！《公职律师管理办法》第二十四条规定，法律、法规授权的具有公共事务管理职能的事业单位、社会团体及其他组织，可以参照本办法设立公职律师。目前全国各省市公职律师的申请条件不一致，比如有的省市许可公立中小学教师、公立医院这种公益一类事业单位的公职人员申请公职律师，但有的省份对这类公职人员申请公职律师则不予审批。针对这一行政审批行政行为在全国的不统一，特提出建议如下：希望司法部颁布相关规范性文件对公职律师申请条件作出明确的规定或者批复，以实现全国申请办理公职律师条件的统一，真正体现“公职律师”的“公职”属性，让公益一类事业单位的具有法律资格证书的公职人员为单位在法律事务方面贡献力量，为法治中国的建设贡献力量。
,法考主观题请增加五笔98版输入法,今日（2023年3月26日）参加法考主观题考试，发现电脑上只有五笔输入法86版，而没有五笔输入法98版。由于五笔输入法分为86版和98版，两者的字根不不一样，打字顺序和思维也不一样，但法考主观题考试电脑上只装有五笔输入法86版，建议在法考主观题电脑上添加五笔输入法98版，以满足更多考生的打字需求，非常感谢！
,2022年延期法考考生申请重开报名入口,2022年法考主观题考生，2022年报名成功后延期考试，未通知延期至2023年后还需要重新报名啊。2022年不少考生错过了2023年3月2日至3月8日主观题报名交费期限，申请重开报名入口补报交费。
,关于法律援助案件律师职责明确的建议,希望相关部门对法律援助案件律师做出明确职责义务及相关考核制度，制定明确的书面援助律师责任细节并按流程履行责任。
,建议自考法学本科可以拥有参加法考的权利,随着教育不断的发展，现在的自考本科，从上课老师教育水平和考试严峻程度也不亚于全日制本科水平，从所受教育程度上来说，自考本科法学生所学的专业性知识也是完全遵循严格要求来完成的，拿到学位证的要求也是苛刻，可最后无法参加法考是众多自考法学本科生的遗憾，也是痛点，自考法学本科通过自考过程更锻炼了自己，使自身变得更加自律，也因为各种原因不得不通过自考来弥补未拥有法学全日制学历的遗憾，以此选择自考法学来证明对法律的热爱，可是始终无法参加法考来说是一种痛苦，在此建议也是恳求拜托司法部可以制定出更好的办法让我们自考法学生获得参加法考的权利，让我们是一种就业选择，也是让更多热爱法律的学子可以多一份选择以自己热爱的职业就业。谢谢可以为我们自考法学本科生考虑一下相对可行性的办法。
,送法下乡,全面依法治国需要大量的法律人才，司法系统退休职工也可为社会法治贡献余热，建议每年的法考能为退休职工专门划一条稍低一点的放宽线，让老人能积极学法、用法、普法、守法，建法治家风！彻底移风易俗，为新时代全面依法治国打下法治家教家风基础！让宪法法律走进千家万户实现全民学法守法！不知妥否？
2023/2/28,建议行政复议法律文书优先电子送达便利群众,以往通过人工送达、邮寄送达文书需要先制作文书、打印文书、填写EMS专递、邮局配送、然后等待回执回送等繁琐的过程，一般耗时为8-15天，专递回执回送太慢导致复议机关难以及时得知申请人被申请人是否已经知悉行政复议决定的结论。法院系统开展的电子送达实现一键送达、全程留痕，当事人可在线查询验证文书真伪，这种做法既节约了时间成本和寄送成本，推动办案效率有效提升，也便利了申请人被申请人可以及时收到文书。因此，建议推动行政复议电子送达优先适用，进一步明确电子送达与传统送达之间的衔接程序，提供电子送达平台等技术支持给予基层办案单位，充分借鉴法院系统相关实践经验；出台关于电子送达的具体规定，在案件办理过程中，引导行政复议各方当事人选择使用电子送达。
,关于对C证律师放宽地区执业限制的建议,司法部曾发文规定C证律师只能在报考时户籍地申请执业，该规定地域范围过于狭窄，限制了C证律师的有序和流动便利，是否可以将C证律师申请执业的范围放宽到全部放宽地域或者本省内的放宽地域。#人民建议#
,人民陪审员制度之优化,我是一名唐山地区的人民陪审员，最近参加了几起案子的庭审，感触很深！现在社会对陪审还是知之甚少，尤其是企业对陪审员的认可度相当之低，认为陪审员只是在为法院去进行服务，与企业无关，根本就不能做到支持陪审员的工作，其实一名陪审员对企业普法方面会有很大的帮助，但对于一般国企，很多领导都不知道陪审员是干什么去了，更谈不上支持。希望咱司法部能出台一些规定，对保障陪审员制度的发展及陪审员对社会普法作用的发挥起到积极的推动作用。
,更名为基层律师或C证律师的请求,"尊敬的部长:
       我们都有本科学历或法律专科学历并经过正规的考试才拿到基层法律服务工作者资格证（已下简称法工），但原来的法工证的取得方式是只要求有高中文凭申请即可取得，经正式考试取得法工证和依申请取得法工证统一编为法工，我认为既不公平，也不合理。
  为适应新时代进步之需要，我认为应当将法工更名为基层律师或C证律师。貝体业务范围可以不变，建议依申请取得法工证的人员向基层律师或C证律师过渡。法工这种称呼不规范也不准确，从事法律工作的人员都可以称作法工，包括法官，检察官，律师等。而医生的称呼却比较准确，服务乡村的医生称为乡村医生。
       对老百姓来说，打官司的都是律师，不知道还有法工一说。老百姓不懂，称呼法工为律师，这种情况是解释还是默认呢？默认了，某些律师又说法工冒充律师。你要是解释，老百姓还以为你没代理权在欺骗他。
      恳请尊敬的部长采纳我们的建议，将法工更名为基层律师或C证律师，感谢！"
,建议公立医院符合条件的人员可纳入公职律师申请,"公益一类事业单位已经纳入公职律师设立范围,比如学校,乡镇卫生院属于公益一类事业单位,可以参照设立公职律师,但是县级以上公立医院(含省市级公立医院)没有纳入，可否开放公立医院符合条件的在编人员纳入公职律师申请。谢谢部长。向您致敬！"
,关于建设全国统一行政复议公开网站,您好，我国群众大部分均有了通过法律途径解决日常生活中遇到的问题意向，部分地区向社会主动公开本地区行政复议决定书，不予受理等问题，保障了群众的监督权，让群众可以学习行政复议文书中的法律知识，也让行政复议机关办理人员可以通过查询类案的方式进行办理行政复议案件，具有极大推广价值，司法部后续是否有意向建立一个类似国家裁判文书网的专门公开行政复议案件的网站？
